,index,order_id,cust_id,gender,age,date,status,retail_supplier,sku,category,size,qty,currency,amount,ship-city,ship-state,ship-postal-code,ship-country,b2b
6077,6078,405-5958251-2112363,5958251,M,37,2022-04-06,Delivered,Myntra,AN202-ORANGE-M,bottom,M,1,INR,229,CHENNAI,TAMIL NADU,600011,IN,False
6078,6079,171-8595241-1013945,8595241,M,18,2022-04-06,Delivered,Myntra,SET398-KR-PP-XXL,set,XXL,1,INR,1186,KOLKATA,WEST BENGAL,700108,IN,False
6079,6080,404-7802013-2249961,7802013,W,48,2022-04-06,Delivered,Flipkart,SET356-KR-NP-XXL,set,XXL,1,INR,969,ALWAR,RAJASTHAN,301001,IN,False
6080,6081,406-1476807-8417159,1476807,M,27,2022-04-06,Delivered,Amazon,J0230-SKD-XS,set,XS,1,INR,969,MUMBAI,MAHARASHTRA,400083,IN,False
6081,6082,408-7027316-3165903,7027316,W,47,2022-04-06,Delivered,Meesho,BL099-L,blouse,L,1,INR,259,MUMBAI,MAHARASHTRA,400025,IN,False
6082,6083,406-2499972-9721110,2499972,W,45,2022-04-06,Delivered,Amazon,JNE3468-KR-XXXL,kurta,3XL,1,INR,387,THANE West,MAHARASHTRA,400610,IN,False
6083,6084,408-3424506-1334765,3424506,W,46,2022-04-06,Delivered,Nalli,JNE3739-KR-M,kurta,M,1,INR,459,MYSURU,KARNATAKA,570023,IN,False
6084,6085,408-3424506-1334765,3424506,W,19,2022-04-06,Delivered,Nalli,JNE3794-KR-XL,kurta,XL,1,INR,517,Chennai,TAMIL NADU,603103,IN,False
6085,6086,408-3424506-1334765,3424506,W,48,2022-04-06,Delivered,Others,JNE3738-KR-L,kurta,L,1,INR,372,VISAKHAPATNAM,ANDHRA PRADESH,530013,IN,False
6086,6087,408-3424506-1334765,3424506,M,21,2022-04-06,Delivered,Nalli,JNE3710-DR-XXL,western dress,XXL,1,INR,699,HYDERABAD,TELANGANA,500019,IN,False
6087,6088,171-4418408-0245165,4418408,W,49,2022-04-06,Delivered,Amazon,SET275-KR-NP-S,set,S,1,INR,630,Katra,JAMMU & KASHMIR,182301,IN,False
6088,6089,405-8979596-5848329,8979596,W,46,2022-04-06,Delivered,Amazon,SET335-KR-NP-M,set,M,1,INR,771,HYDERABAD,TELANGANA,501218,IN,False
6089,6090,171-2731035-8178762,2731035,W,49,2022-04-06,Delivered,Flipkart,J0088-TP-M,top,M,1,INR,497,CHENNAI,TAMIL NADU,600127,IN,False
6090,6091,171-2731035-8178762,2731035,W,23,2022-04-06,Delivered,Flipkart,JNE3766-KR-XL,kurta,XL,1,INR,517,Imphal east,MANIPUR,795001,IN,False
6091,6092,402-6750470-5589945,6750470,W,38,2022-04-06,Delivered,Amazon,JNE3468-KR-XXXL,kurta,3XL,1,INR,397,Kalyan,MAHARASHTRA,421301,IN,False
6092,6093,171-7177464-0713153,7177464,W,22,2022-04-06,Cancelled,Flipkart,JNE3471-KR-XL,kurta,XL,1,INR,318,MUMBAI,MAHARASHTRA,400022,IN,False
6093,6094,407-2185643-2370707,2185643,W,31,2022-04-06,Delivered,Flipkart,JNE3835-KR-XS,kurta,XS,1,INR,521,CHENNAI,TAMIL NADU,600066,IN,False
6094,6095,407-2185643-2370707,2185643,W,25,2022-04-06,Delivered,Flipkart,JNE3865-TP-L,top,L,1,INR,513,KAITHAL,HARYANA,136027,IN,False
6095,6096,407-0704933-8141107,704933,M,33,2022-04-06,Delivered,Flipkart,SAR003,saree,Free,1,INR,999,NEW DELHI,DELHI,110080,IN,False
6096,6097,406-4585177-3093912,4585177,W,21,2022-04-06,Delivered,Myntra,JNE3471-KR-XL,kurta,XL,1,INR,301,THIRUVALLA,KERALA,689551,IN,False
6097,6098,408-9910845-5515527,9910845,W,40,2022-04-06,Delivered,Flipkart,NW002-TP-PJ-L,set,L,1,INR,474,MUMBAI,MAHARASHTRA,400052,IN,False
6098,6099,171-6277960-8769969,6277960,W,26,2022-04-06,Delivered,Flipkart,SET038-KR-PP-XL,set,XL,1,INR,579,MUMBAI,MAHARASHTRA,400069,IN,False
6099,6100,407-6753268-9158723,6753268,W,67,2022-04-06,Delivered,Ajio,MEN5009-KR-XXL,kurta,XXL,1,INR,495,HYDERABAD,TELANGANA,500090,IN,False
6100,6101,405-7970517-0053954,7970517,W,44,2022-04-06,Delivered,Flipkart,JNE3543-KR-XS,kurta,XS,1,INR,357,Singrauli,MADHYA PRADESH,486890,IN,False
6101,6102,407-8244181-0236323,8244181,W,34,2022-04-06,Delivered,Flipkart,JNE3520-KR-XXL,kurta,XXL,1,INR,419,RAIGARH,MAHARASHTRA,410210,IN,False
6102,6103,171-4663924-0786745,4663924,W,24,2022-04-06,Delivered,Flipkart,JNE3470-KR-M,kurta,M,1,INR,329,HOSKOTE,KARNATAKA,562114,IN,False
6103,6104,171-5136075-6505951,5136075,W,24,2022-04-06,Delivered,Meesho,SET343-KR-NP-XL,set,XL,1,INR,825,KALYAN,MAHARASHTRA,421301,IN,False
6104,6105,404-6398317-6375545,6398317,M,39,2022-04-06,Delivered,Flipkart,SET355-KR-PP-XXXL,set,3XL,1,INR,1229,HYDERABAD,TELANGANA,500008,IN,False
6105,6106,403-6800003-6393131,6800003,W,40,2022-04-06,Delivered,Myntra,BL104-S,blouse,S,1,INR,625,CHANDAULI,UTTAR PRADESH,232104,IN,False
6106,6107,403-4653691-0808344,4653691,W,61,2022-04-06,Delivered,Myntra,JNE3620-KR-XL,kurta,XL,1,INR,322,JAMMU,JAMMU & KASHMIR,180004,IN,False
6107,6108,407-1746948-6137944,1746948,W,25,2022-04-06,Delivered,Flipkart,JNE3718-KR-S,kurta,S,1,INR,458,BAREILLY,UTTAR PRADESH,243001,IN,False
6108,6109,408-3828533-0341148,3828533,M,22,2022-04-06,Delivered,Amazon,J0148-SET-XL,set,XL,1,INR,636,Guwahati,ASSAM,781025,IN,False
6109,6110,408-5649748-9188364,5649748,M,46,2022-04-06,Delivered,Ajio,SET278-KR-NP-M,set,M,1,INR,1442,NAVI MUMBAI,MAHARASHTRA,400706,IN,False
6110,6111,403-0625932-8765951,625932,W,22,2022-04-06,Delivered,Myntra,J0006-SET-XL,ethnic dress,XL,1,INR,845,UMARGA,MAHARASHTRA,413606,IN,False
6111,6112,407-9968288-6151540,9968288,M,41,2022-04-06,Delivered,Myntra,SET364-KR-NP-L,set,L,1,INR,1126,CALANGUTE,GOA,403516,IN,False
6112,6113,406-3885049-4748347,3885049,W,71,2022-04-06,Delivered,Amazon,JNE3468-KR-XXXL,kurta,3XL,1,INR,363,GHAZIABAD,UTTAR PRADESH,201010,IN,False
6113,6114,406-0484200-0183533,484200,W,18,2022-04-06,Delivered,Flipkart,NW008-ST-CP-XXXL,set,3XL,1,INR,758,PUNE,MAHARASHTRA,411057,IN,False
6114,6115,406-0871793-8968366,871793,W,69,2022-04-06,Refunded,Amazon,PJNE2270-KR-N-4XL,kurta,4XL,1,INR,1099,BENGALURU,KARNATAKA,560048,IN,False
6115,6116,405-4344457-8400316,4344457,W,41,2022-04-06,Delivered,Flipkart,J0142-KR-L,kurta,L,1,INR,396,KOLKATA,WEST BENGAL,700040,IN,False
6116,6117,406-9286704-0405141,9286704,W,42,2022-04-06,Refunded,Amazon,JNE3610-KR-M,kurta,M,1,INR,318,THANE,MAHARASHTRA,400601,IN,False
6117,6118,407-9142337-1598754,9142337,W,27,2022-04-06,Delivered,Amazon,JNE3405-KR-XS,kurta,XS,1,INR,399,GUWAHATI,ASSAM,781011,IN,False
6118,6119,408-2762433-6924349,2762433,W,34,2022-04-06,Returned,Amazon,JNE3579-KR-XL,kurta,XL,1,INR,292,PALGHAR,MAHARASHTRA,401201,IN,False
6119,6120,406-5816163-4596341,5816163,W,55,2022-04-06,Delivered,Flipkart,J0355-KR-L,kurta,L,1,INR,635,BENGALURU,KARNATAKA,560103,IN,False
6120,6121,403-4190659-3541109,4190659,M,63,2022-04-06,Delivered,Amazon,J0343-DR-XL,western dress,XL,1,INR,791,BENGALURU,KARNATAKA,560066,IN,False
6121,6122,408-6516657-9017164,6516657,W,40,2022-04-06,Delivered,Myntra,JNE3471-KR-L,kurta,L,1,INR,295,CHENNAI,TAMIL NADU,600116,IN,False
6122,6123,405-4618669-5997926,4618669,M,19,2022-04-06,Delivered,Others,SET289-KR-NP-XL,set,XL,1,INR,666,NEW DELHI,DELHI,110059,IN,False
6123,6124,404-3021674-9973146,3021674,W,31,2022-04-06,Delivered,Ajio,MEN5009-KR-XL,kurta,XL,1,INR,495,ALAPPUZHA,KERALA,688582,IN,False
6124,6125,404-7689908-9788336,7689908,W,49,2022-04-06,Delivered,Ajio,J0379-SKD-L,set,L,1,INR,1301,MUMBAI,MAHARASHTRA,400083,IN,False
6125,6126,403-7933802-8872310,7933802,W,48,2022-04-06,Refunded,Myntra,MEN5013-KR-L,kurta,L,1,INR,709,DEHRADUN,UTTARAKHAND,248195,IN,False
6126,6127,404-7279152-8697943,7279152,W,35,2022-04-06,Refunded,Meesho,MEN5021-KR-XL,kurta,XL,1,INR,533,AHMEDABAD,GUJARAT,380050,IN,False
6127,6128,407-3437032-8530725,3437032,W,27,2022-04-06,Delivered,Meesho,JNE3578-KR-S,kurta,S,1,INR,612,HYDERABAD,TELANGANA,500010,IN,False
6128,6129,404-3238674-8774712,3238674,W,22,2022-04-06,Delivered,Flipkart,JNE3690-TU-S,top,S,1,INR,484,BARABANKI,UTTAR PRADESH,225001,IN,False
6129,6130,404-8947199-9773945,8947199,W,23,2022-04-06,Delivered,Amazon,JNE3605-KR-XXL,kurta,XXL,1,INR,487,CHENNAI,TAMIL NADU,600040,IN,False
6130,6131,406-4839510-0061164,4839510,M,38,2022-04-06,Delivered,Myntra,SET304-KR-DPT-L,set,L,1,INR,1186,HYDERABAD,TELANGANA,500050,IN,False
6131,6132,406-5504755-3935551,5504755,M,24,2022-04-06,Delivered,Myntra,SET273-KR-NP-S,set,S,1,INR,612,SAGAR,MADHYA PRADESH,470002,IN,False
6132,6133,402-0523432-2241146,523432,W,55,2022-04-06,Delivered,Amazon,JNE3466-KR-XS,kurta,XS,1,INR,771,HYDERABAD,TELANGANA,502032,IN,False
6133,6134,402-2326053-1761923,2326053,W,26,2022-04-06,Delivered,Amazon,J0230-SKD-S,set,S,1,INR,1309,GORAKHPUR,UTTAR PRADESH,273016,IN,False
6134,6135,407-3700593-4042709,3700593,M,30,2022-04-06,Delivered,Amazon,J0095-SET-XXL,set,XXL,1,INR,643,CHANDRAPUR,MAHARASHTRA,442401,IN,False
6135,6136,403-3532449-6345969,3532449,W,36,2022-04-06,Delivered,Amazon,J0006-SET-M,ethnic dress,M,1,INR,845,SATARA,MAHARASHTRA,415001,IN,False
6136,6137,171-7080494-4065128,7080494,W,47,2022-04-06,Delivered,Myntra,JNE3429-KR-XS,kurta,XS,1,INR,299,THRISSUR,KERALA,680002,IN,False
6137,6138,402-8821417-3484334,8821417,W,42,2022-04-06,Delivered,Flipkart,JNE3421-KR-N-L,kurta,L,1,INR,435,UDUPI,KARNATAKA,576104,IN,False
6138,6139,406-6257986-9429147,6257986,W,28,2022-04-06,Returned,Amazon,SET388-KR-NP-S,set,S,1,INR,1260,AHMEDABAD,GUJARAT,380058,IN,False
6139,6140,404-9894076-6344333,9894076,W,24,2022-04-06,Delivered,Flipkart,SET302-KR-PP-M,set,M,1,INR,799,MYSURU,KARNATAKA,570019,IN,False
6140,6141,402-5688471-8874767,5688471,W,18,2022-04-06,Delivered,Flipkart,SET184-KR-PP-S,set,S,1,INR,573,KOLKATA,WEST BENGAL,700063,IN,False
6141,6142,406-5432026-7865923,5432026,M,21,2022-04-06,Delivered,Amazon,SET265-KR-NP-XXXL,set,3XL,1,INR,889,KUNNATHUNAD,KERALA,683562,IN,False
6142,6143,404-1292643-2131541,1292643,W,37,2022-04-06,Delivered,Amazon,SET233-KR-PP-XL,set,XL,1,INR,545,RAIA,GOA,403720,IN,False
6143,6144,404-7605581-5278744,7605581,W,53,2022-04-06,Refunded,Flipkart,PJNE3368-KR-6XL,kurta,6XL,1,INR,511,GHAZIABAD,UTTAR PRADESH,201017,IN,False
6144,6145,171-2980603-2109964,2980603,W,39,2022-04-06,Delivered,Flipkart,JNE3568-KR-M,kurta,M,1,INR,399,KOLKATA,WEST BENGAL,700061,IN,False
6145,6146,171-6396062-0556366,6396062,W,20,2022-04-06,Delivered,Ajio,SET310-KR-NP-L,set,L,1,INR,999,DHULE,MAHARASHTRA,424002,IN,False
6146,6147,406-4611677-3362720,4611677,W,75,2022-04-06,Delivered,Amazon,J0336-TP-XXXL,top,3XL,1,INR,599,THANE,MAHARASHTRA,401101,IN,False
6147,6148,407-8223350-5524352,8223350,M,51,2022-04-06,Delivered,Myntra,SAR028,saree,Free,1,INR,1093,Jabalpur,MADHYA PRADESH,482008,IN,False
6148,6149,406-3121774-0588318,3121774,M,48,2022-04-06,Delivered,Myntra,SET269-KR-NP-S,set,S,1,INR,824,KOKRAJHAR,ASSAM,783375,IN,False
6149,6150,407-8815923-4161906,8815923,W,43,2022-04-06,Delivered,Flipkart,SAR008,saree,Free,1,INR,1250,PATNA,BIHAR,801505,IN,False
6150,6151,405-5517037-4524323,5517037,W,44,2022-04-06,Delivered,Flipkart,J0285-SKD-M,set,M,1,INR,1432,BENGALURU,KARNATAKA,560085,IN,False
6151,6152,404-0688326-5794736,688326,W,19,2022-04-06,Delivered,Amazon,SET145-KR-NP-L,set,L,1,INR,764,COIMBATORE,TAMIL NADU,641025,IN,False
6152,6153,171-4039731-2185950,4039731,W,46,2022-04-06,Delivered,Amazon,SET268-KR-NP-S,set,S,1,INR,788,JAMKHANDI,KARNATAKA,587301,IN,False
6153,6154,402-1132826-3973116,1132826,W,63,2022-04-06,Refunded,Flipkart,JNE3805-KR-M,kurta,M,1,INR,459,AHMEDABAD,GUJARAT,380004,IN,False
6154,6155,402-1132826-3973116,1132826,M,41,2022-04-06,Delivered,Myntra,JNE3797-KR-XXXL,western dress,3XL,1,INR,735,BENGALURU,KARNATAKA,560068,IN,False
6155,6156,408-7442725-1694760,7442725,W,22,2022-04-06,Delivered,Amazon,JNE3800-KR-XL,western dress,XL,1,INR,771,BENGALURU,KARNATAKA,560030,IN,False
6156,6157,404-4686521-0925167,4686521,M,48,2022-04-06,Delivered,Amazon,SET324-KR-NP-M,set,M,1,INR,597,THANE,MAHARASHTRA,400615,IN,False
6157,6158,404-1066928-1341939,1066928,M,41,2022-04-06,Delivered,Amazon,J0349-SET-XXL,set,XXL,1,INR,845,ZIRAKPUR,PUNJAB,140603,IN,False
6158,6159,408-2953378-4022700,2953378,W,23,2022-04-06,Delivered,Flipkart,J0164-DR-L,ethnic dress,L,1,INR,438,NEW DELHI,DELHI,110064,IN,False
6159,6160,408-7052005-1626736,7052005,W,24,2022-04-06,Delivered,Amazon,J0005-DR-S,western dress,S,1,INR,899,CHENNAI,TAMIL NADU,600069,IN,False
6160,6161,403-3853738-9737968,3853738,W,30,2022-04-06,Delivered,Meesho,JNE3838-KR-M,kurta,M,1,INR,399,MUMBAI,MAHARASHTRA,400065,IN,False
6161,6162,171-6539024-9161134,6539024,W,47,2022-04-06,Refunded,Myntra,JNE3440-KR-N-XS,kurta,XS,1,INR,435,KARANJIA,ODISHA,757037,IN,False
6162,6163,402-0035094-5911561,35094,W,35,2022-04-06,Delivered,Myntra,JNE3421-KR-N-M,kurta,M,1,INR,435,sikar,RAJASTHAN,332405,IN,False
6163,6164,171-4356409-1576347,4356409,W,71,2022-04-06,Delivered,Myntra,JNE3905-DR-XL,western dress,XL,1,INR,869,Ahmedabad,GUJARAT,380015,IN,False
6164,6165,171-3072582-2361105,3072582,W,34,2022-04-06,Refunded,Flipkart,SAR019,saree,Free,1,INR,613,CHANDIGARH,CHANDIGARH,160022,IN,False
6165,6166,404-2303810-1180335,2303810,W,64,2022-04-06,Delivered,Amazon,SAR025,saree,Free,1,INR,595,NOIDA,UTTAR PRADESH,201305,IN,False
6166,6167,405-8953264-5242760,8953264,W,58,2022-04-06,Delivered,Flipkart,J0277-SKD-XL,set,XL,1,INR,1323,JAMNAGAR,GUJARAT,361001,IN,False
6167,6168,403-8598162-3415542,8598162,W,37,2022-04-06,Refunded,Flipkart,JNE3522-KR-XXL,kurta,XXL,1,INR,342,KOLKATA,WEST BENGAL,700048,IN,False
6168,6169,403-7647388-5205123,7647388,M,41,2022-04-06,Delivered,Ajio,SET374-KR-NP-M,set,M,1,INR,666,MYSURU,KARNATAKA,570022,IN,False
6169,6170,402-0590597-9115514,590597,W,35,2022-04-06,Refunded,Myntra,JNE3801-KR-XXL,kurta,XXL,1,INR,771,SANKARANKOIL,TAMIL NADU,627756,IN,False
6170,6171,403-7285729-8919552,7285729,W,41,2022-04-06,Refunded,Ajio,BL104-L,blouse,L,1,INR,1229,WEST NIMAR,MADHYA PRADESH,451001,IN,False
6171,6172,405-7112672-5429149,7112672,W,36,2022-04-06,Delivered,Myntra,SET345-KR-NP-XS,set,XS,1,INR,603,THANE,MAHARASHTRA,400606,IN,False
6172,6173,402-5145993-8596313,5145993,W,36,2022-04-06,Delivered,Myntra,J0113-TP-XXXL,top,3XL,1,INR,758,ZIRAKPUR,PUNJAB,140603,IN,False
6173,6174,407-7324342-3882768,7324342,M,23,2022-04-06,Delivered,Flipkart,SET295-KR-NP-S,set,S,1,INR,751,BENGALURU,KARNATAKA,560008,IN,False
6174,6175,404-7946032-7533149,7946032,W,25,2022-04-06,Delivered,Myntra,SET247-KR-SHA-XS,set,XS,1,INR,716,MUMBAI,MAHARASHTRA,400059,IN,False
6175,6176,408-4346909-7110727,4346909,W,34,2022-04-06,Delivered,Amazon,JNE3468-KR-XXL,kurta,XXL,1,INR,352,Kharar,PUNJAB,140301,IN,False
6176,6177,405-1388293-5737132,1388293,W,50,2022-04-06,Delivered,Amazon,SAR005,saree,Free,1,INR,885,MUMBAI,MAHARASHTRA,400024,IN,False
6177,6178,171-1044265-2668301,1044265,W,36,2022-04-06,Delivered,Myntra,MEN5011-KR-XXL,kurta,XXL,1,INR,499,KOLKATA,WEST BENGAL,700107,IN,False
6178,6179,408-7430589-1717926,7430589,W,24,2022-04-06,Delivered,Myntra,JNE3793-KR-XXXL,kurta,3XL,1,INR,368,MUMBAI,MAHARASHTRA,400053,IN,False
6179,6180,408-7417921-9913106,7417921,W,20,2022-04-06,Delivered,Myntra,J0335-DR-L,western dress,L,1,INR,807,HYDERABAD,TELANGANA,500090,IN,False
6180,6181,408-4694808-8174713,4694808,W,34,2022-04-06,Delivered,Amazon,MEN5023-KR-M,kurta,M,1,INR,549,LUCKNOW,UTTAR PRADESH,226016,IN,False
6181,6182,402-1708058-6725101,1708058,M,38,2022-04-06,Delivered,Amazon,AN209-BIEGE-XL,bottom,XL,1,INR,229,RAJAHMUNDRY,ANDHRA PRADESH,533101,IN,False
6182,6183,171-7571477-5603506,7571477,W,28,2022-04-06,Delivered,Ajio,JNE3568-KR-XL,kurta,XL,1,INR,435,KALAMASSERY,KERALA,682033,IN,False
6183,6184,402-7160652-9541946,7160652,W,28,2022-04-06,Delivered,Myntra,JNE3560-KR-S,kurta,S,1,INR,544,TIRUCHIRAPPALLI,TAMIL NADU,620018,IN,False
6184,6185,171-7293041-0885908,7293041,W,71,2022-04-06,Delivered,Amazon,JNE3445-KR-L,kurta,L,1,INR,453,HYDERABAD,TELANGANA,500085,IN,False
6185,6186,405-1067164-7601146,1067164,W,60,2022-04-06,Delivered,Others,SAR019,saree,Free,1,INR,458,RAE BARELI,UTTAR PRADESH,229001,IN,False
6186,6187,404-5795718-8923524,5795718,W,44,2022-04-06,Delivered,Myntra,SET377-KR-NP-S,set,S,1,INR,1238,KALABURGI,KARNATAKA,585104,IN,False
6187,6188,403-2672584-3009930,2672584,W,27,2022-04-06,Cancelled,Myntra,JNE3761-KR-L,kurta,L,1,INR,310,HYDERABAD,TELANGANA,500072,IN,False
6188,6189,408-9893046-4293928,9893046,W,28,2022-04-06,Delivered,Myntra,JNE3784-KR-M,kurta,M,1,INR,517,KOLKATA,WEST BENGAL,700099,IN,False
6189,6190,171-9565901-9605924,9565901,W,47,2022-04-06,Delivered,Myntra,J0297-TP-M,top,M,1,INR,574,SRI GANGANAGAR,RAJASTHAN,335001,IN,False
6190,6191,171-2395279-3368309,2395279,M,45,2022-04-06,Delivered,Flipkart,J0003-SET-XS,set,XS,1,INR,664,VADODARA,GUJARAT,391410,IN,False
6191,6192,403-0226799-6196306,226799,W,31,2022-04-06,Delivered,Flipkart,J0008-SKD-M,set,M,1,INR,1065,KALYAN,MAHARASHTRA,421306,IN,False
6192,6193,406-6586249-0822708,6586249,W,22,2022-04-06,Delivered,Amazon,JNE3420-KR-XXL,kurta,XXL,1,INR,299,HOSHIARPUR,PUNJAB,146001,IN,False
6193,6194,407-3558689-0382769,3558689,W,32,2022-04-06,Delivered,Flipkart,JNE3405-KR-S,kurta,S,1,INR,399,THRISSUR,KERALA,680003,IN,False
6194,6195,405-8938178-0441968,8938178,W,28,2022-04-06,Delivered,Flipkart,JNE3697-KR-XXL,kurta,XXL,1,INR,486,PANCHKULA,HARYANA,134109,IN,False
6195,6196,404-2180421-9302762,2180421,M,34,2022-04-06,Delivered,Myntra,J0381-SKD-XL,set,XL,1,INR,1146,KATTAPPANA,KERALA,685551,IN,False
6196,6197,405-2592581-5137130,2592581,W,48,2022-04-06,Delivered,Myntra,JNE3776-KR-M,kurta,M,1,INR,301,MUMBAI,MAHARASHTRA,400018,IN,False
6197,6198,405-2592581-5137130,2592581,W,37,2022-04-06,Delivered,Myntra,JNE3739-KR-L,kurta,L,1,INR,459,THRISSUR,KERALA,680664,IN,False
6198,6199,406-0765615-9922714,765615,W,48,2022-04-06,Delivered,Myntra,SET291-KR-PP-XXL,set,XXL,1,INR,563,CHENNAI,TAMIL NADU,600078,IN,False
6199,6200,402-2447407-6217158,2447407,M,24,2022-04-06,Delivered,Myntra,SET055-KR-NP-XXL,set,XXL,1,INR,598,BENGALURU,KARNATAKA,560073,IN,False
6200,6201,402-1441069-0482705,1441069,W,22,2022-04-06,Delivered,Meesho,J0230-SKD-S,set,S,1,INR,999,OCL INDUSTRIAL TOWNSHIP,ODISHA,770017,IN,False
6201,6202,405-6705596-9508346,6705596,W,22,2022-04-06,Delivered,Amazon,J0349-SET-M,set,M,1,INR,845,NOIDA,UTTAR PRADESH,201301,IN,False
6202,6203,405-7645152-4360367,7645152,W,45,2022-04-06,Delivered,Amazon,J0029-KR-S,kurta,S,1,INR,345,NEW DELHI,DELHI,110096,IN,False
6203,6204,403-3825084-9040352,3825084,W,28,2022-04-06,Delivered,Amazon,JNE3313-KR-A-XXXL,kurta,3XL,1,INR,582,GURDASPUR,PUNJAB,143530,IN,False
6204,6205,403-1017215-5514709,1017215,W,18,2022-04-06,Delivered,Myntra,JNE3778-KR-XXXL,kurta,3XL,1,INR,431,TIRUPATI,ANDHRA PRADESH,517502,IN,False
6205,6206,407-3956003-0942723,3956003,W,42,2022-04-06,Delivered,Myntra,J0095-SET-XXXL,set,3XL,1,INR,653,NEW DELHI,DELHI,110091,IN,False
6206,6207,405-7741588-5286731,7741588,W,36,2022-04-06,Delivered,Amazon,SET364-KR-NP-S,set,S,1,INR,1126,ISLAMPUR,WEST BENGAL,733202,IN,False
6207,6208,407-1450568-6693967,1450568,W,23,2022-04-06,Delivered,Myntra,JNE3797-KR-S,western dress,S,1,INR,735,BEED,MAHARASHTRA,431122,IN,False
6208,6209,403-1557481-4155562,1557481,W,69,2022-04-06,Returned,Meesho,J0236-SKD-L,set,L,1,INR,922,Nanded,MAHARASHTRA,431605,IN,False
6209,6210,171-7002533-0127550,7002533,W,44,2022-04-06,Cancelled,Others,JNE3405-KR-M,kurta,M,1,INR,399,KADIPUR,UTTAR PRADESH,228145,IN,False
6210,6211,406-4837463-6588305,4837463,M,25,2022-04-06,Delivered,Amazon,SET055-KR-NP-XL,set,XL,1,INR,625,Kolkata,WEST BENGAL,700141,IN,False
6211,6212,403-3519592-7553956,3519592,W,27,2022-04-06,Delivered,Flipkart,J0094-KR-M,kurta,M,1,INR,568,NEW DELHI,DELHI,110044,IN,False
6212,6213,171-4349625-1074751,4349625,W,70,2022-04-06,Delivered,Amazon,JNE3421-KR-XL,kurta,XL,1,INR,449,KOLAR,KARNATAKA,563116,IN,False
6213,6214,406-2347718-4584355,2347718,M,40,2022-04-06,Delivered,Flipkart,SET183-KR-DH-M,set,M,1,INR,730,HYDERABAD,TELANGANA,500084,IN,False
6214,6215,406-2744466-6919553,2744466,W,25,2022-04-06,Delivered,Ajio,JNE3579-KR-M,kurta,M,1,INR,301,SECUNDERABAD,TELANGANA,500003,IN,False
6215,6216,407-4565989-4194764,4565989,W,24,2022-04-06,Delivered,Others,J0094-KR-XL,kurta,XL,1,INR,568,DINANAGAR,PUNJAB,143531,IN,False
6216,6217,403-9459678-3324308,9459678,W,50,2022-04-06,Delivered,Amazon,JNE3801-KR-XS,kurta,XS,1,INR,771,DOBASPET INDUSTRIAL AREA,KARNATAKA,562111,IN,False
6217,6218,403-6850839-9661114,6850839,W,33,2022-04-06,Delivered,Myntra,NW012-TP-PJ-XL,set,XL,1,INR,521,KALYAN,MAHARASHTRA,421301,IN,False
6218,6219,402-9086579-7166708,9086579,W,33,2022-04-06,Refunded,Amazon,SAR013,saree,Free,1,INR,499,Srinagar Garhwal,UTTARAKHAND,246174,IN,False
6219,6220,171-7084368-6839503,7084368,M,23,2022-04-06,Delivered,Amazon,SET271-KR-NP-XXL,set,XXL,1,INR,895,Lucknow,UTTAR PRADESH,226015,IN,False
6220,6221,408-9681232-0305132,9681232,W,45,2022-04-06,Delivered,Ajio,JNE3487-KR-S,kurta,S,1,INR,345,TADPATRI,ANDHRA PRADESH,515411,IN,False
6221,6222,408-9681232-0305132,9681232,W,61,2022-04-06,Delivered,Myntra,JNE3546-KR-XXL,kurta,XXL,1,INR,487,HYDERABAD,TELANGANA,500086,IN,False
6222,6223,408-9681232-0305132,9681232,W,46,2022-04-06,Delivered,Myntra,JNE3399-KR-M,kurta,M,1,INR,435,DEHRADUN,UTTARAKHAND,248001,IN,False
6223,6224,405-3249871-4490767,3249871,W,47,2022-04-06,Returned,Nalli,SAR024,saree,Free,1,INR,646,DARBHANGA,BIHAR,846004,IN,False
6224,6225,171-9337431-5737947,9337431,M,23,2022-04-06,Returned,Ajio,SET363-KR-NP-XS,set,XS,1,INR,1149,PUNE,MAHARASHTRA,411027,IN,False
6225,6226,402-0931370-0005103,931370,M,28,2022-04-06,Delivered,Myntra,SET397-KR-NP-L,set,L,1,INR,1201,BENGALURU,KARNATAKA,560036,IN,False
6226,6227,404-9456135-0302729,9456135,M,19,2022-04-06,Delivered,Amazon,SET270-KR-PP-XL,set,XL,1,INR,568,MYSURU,KARNATAKA,570022,IN,False
6227,6228,406-9879234-4403512,9879234,W,44,2022-04-06,Delivered,Flipkart,JNE3773-KR-XL,kurta,XL,1,INR,310,HYDERABAD,TELANGANA,500072,IN,False
6228,6229,404-7946669-2642704,7946669,W,26,2022-04-06,Delivered,Amazon,JNE3804-KR-XXL,kurta,XXL,1,INR,459,NEW DELHI,DELHI,110032,IN,False
6229,6230,405-7440008-1001154,7440008,W,35,2022-04-06,Delivered,Amazon,JNE3405-KR-XXL,kurta,XXL,1,INR,399,KOTTARAKKARA,KERALA,691540,IN,False
6230,6231,404-9227362-8717968,9227362,W,34,2022-04-06,Delivered,Flipkart,J0003-SET-M,set,M,1,INR,655,BAGALKOT,KARNATAKA,587103,IN,False
6231,6232,405-6975376-2857152,6975376,W,49,2022-04-06,Delivered,Myntra,JNE3793-KR-XXXL,kurta,3XL,1,INR,368,SHILLONG,MEGHALAYA,793008,IN,False
